,Provider.Number,Hospital.Name,Address.1,Address.2,Address.3,City,State,ZIP.Code,County.Name,Phone.Number,Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Footnote...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Footnote...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Hospital.30.Day.Readmission.Rates.from.Pneumonia,Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Footnote...Hospital.30.Day.Readmission.Rates.from.Pneumonia
16,010025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,,,VALLEY,AL,36854,CHAMBERS,3347561400,15.4,No Different than U.S. National Rate,12.3,19.2,84,,8.8,No Different than U.S. National Rate,6.5,11.8,180,,10.3,No Different than U.S. National Rate,7.5,14.2,115,,20.1,No Different than U.S. National Rate,16.2,24.7,56,,25.1,No Different than U.S. National Rate,21.2,29.3,220,,19.5,No Different than U.S. National Rate,15.7,23.9,113,
18,010029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,,,OPELIKA,AL,36801,LEE,3347493411,16.3,No Different than U.S. National Rate,13.1,19.9,275,,12.9,No Different than U.S. National Rate,10.5,15.5,619,,12.1,No Different than U.S. National Rate,9.3,15.5,251,,21.9,No Different than U.S. National Rate,18.6,25.5,321,,25.2,No Different than U.S. National Rate,22.6,27.9,780,,14.9,Better than U.S. National Rate,12.1,18.4,260,
20,010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,,,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,15.0,No Different than U.S. National Rate,11.7,18.9,206,,12.5,No Different than U.S. National Rate,10.0,15.7,371,,12.7,No Different than U.S. National Rate,10.1,15.9,316,,20.3,No Different than U.S. National Rate,17.0,23.9,262,,25.7,No Different than U.S. National Rate,22.7,28.9,512,,20.6,No Different than U.S. National Rate,17.4,24.0,343,
21,010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,,,TALLASSEE,AL,36078,ELMORE,3342836541,17.1,No Different than U.S. National Rate,13.4,21.1,25,,12.3,No Different than U.S. National Rate,9.2,16.2,98,,11.6,No Different than U.S. National Rate,8.5,15.4,101,,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.8,No Different than U.S. National Rate,20.5,29.6,115,,18.1,No Different than U.S. National Rate,14.3,22.4,111,
22,010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,,,CULLMAN,AL,35058,CULLMAN,2567372000,17.1,No Different than U.S. National Rate,13.7,21.2,128,,12.1,No Different than U.S. National Rate,9.6,14.8,360,,12.1,No Different than U.S. National Rate,9.8,14.8,415,,18.4,No Different than U.S. National Rate,14.8,22.5,99,,24.9,No Different than U.S. National Rate,21.7,28.2,441,,17.1,No Different than U.S. National Rate,14.5,20.2,432,
24,010038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,,,ANNISTON,AL,36201,CALHOUN,2562358900,16.4,No Different than U.S. National Rate,12.4,21.6,84,,12.0,No Different than U.S. National Rate,9.1,15.6,205,,12.0,No Different than U.S. National Rate,9.1,15.6,228,,20.3,No Different than U.S. National Rate,16.2,24.9,65,,24.4,No Different than U.S. National Rate,20.7,28.7,232,,18.1,No Different than U.S. National Rate,14.9,21.7,250,
25,010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,,,HUNTSVILLE,AL,35801,MADISON,2562651000,15.2,No Different than U.S. National Rate,13.2,17.6,1035,,12.4,No Different than U.S. National Rate,10.9,14.1,1438,,14.1,Worse than U.S. National Rate,12.2,16.1,920,,18.2,No Different than U.S. National Rate,16.2,20.4,1162,,23.5,No Different than U.S. National Rate,21.7,25.4,1734,,17.5,No Different than U.S. National Rate,15.5,19.8,936,
26,010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,,,GADSDEN,AL,35903,ETOWAH,2564944000,16.7,No Different than U.S. National Rate,13.2,20.9,228,,10.7,No Different than U.S. National Rate,8.5,13.4,385,,14.6,No Different than U.S. National Rate,11.9,17.9,424,,21.7,No Different than U.S. National Rate,18.0,25.9,219,,24.8,No Different than U.S. National Rate,21.7,28.1,471,,19.5,No Different than U.S. National Rate,16.6,22.6,459,
29,010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,,,FAYETTE,AL,35555,FAYETTE,2059325966,16.7,No Different than U.S. National Rate,13.1,21.0,36,,11.7,No Different than U.S. National Rate,8.7,15.5,104,,12.9,No Different than U.S. National Rate,10.0,16.5,199,,Not Available,Number of Cases Too Small,Not Available,Not Available,21,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.1,No Different than U.S. National Rate,19.0,27.6,123,,18.5,No Different than U.S. National Rate,15.1,22.2,203,
30,010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,,,GADSDEN,AL,35901,ETOWAH,2565435200,16.9,No Different than U.S. National Rate,13.5,21.1,150,,10.8,No Different than U.S. National Rate,8.6,13.6,383,,12.7,No Different than U.S. National Rate,10.0,16.0,376,,20.2,No Different than U.S. National Rate,16.4,24.4,145,,27.0,No Different than U.S. National Rate,23.7,30.4,456,,20.1,No Different than U.S. National Rate,17.1,23.4,393,
31,010047,GEORGIANA HOSPITAL,515 MIRANDA ST,,,GEORGIANA,AL,36033,BUTLER,3343762205,14.5,No Different than U.S. National Rate,11.2,18.3,40,,10.8,No Different than U.S. National Rate,7.7,14.7,70,,11.3,No Different than U.S. National Rate,8.1,15.4,104,,20.6,No Different than U.S. National Rate,16.3,25.4,31,,28.2,No Different than U.S. National Rate,23.5,33.3,103,,20.1,No Different than U.S. National Rate,16.3,24.9,120,
32,010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,,,ENTERPRISE,AL,36330,COFFEE,3343470584,16.6,No Different than U.S. National Rate,12.7,21.7,33,,12.9,No Different than U.S. National Rate,9.8,16.8,154,,12.9,No Different than U.S. National Rate,9.8,16.9,182,,Not Available,Number of Cases Too Small,Not Available,Not Available,20,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.2,No Different than U.S. National Rate,20.3,28.5,192,,20.2,No Different than U.S. National Rate,16.6,24.4,190,
36,010054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,,,DECATUR,AL,35601,MORGAN,2563502211,15.8,No Different than U.S. National Rate,12.3,20.1,27,,10.5,No Different than U.S. National Rate,8.0,13.6,219,,11.9,No Different than U.S. National Rate,9.0,15.6,214,,Not Available,Number of Cases Too Small,Not Available,Not Available,9,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.1,No Different than U.S. National Rate,21.6,29.0,291,,20.2,No Different than U.S. National Rate,16.9,23.8,257,
37,010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,,,DOTHAN,AL,36305,HOUSTON,3347935000,15.2,No Different than U.S. National Rate,12.2,18.8,315,,12.0,No Different than U.S. National Rate,9.7,14.7,518,,11.3,No Different than U.S. National Rate,9.0,14.0,419,,19.2,No Different than U.S. National Rate,15.9,22.9,333,,23.1,No Different than U.S. National Rate,20.2,26.2,627,,18.8,No Different than U.S. National Rate,15.8,22.1,434,
38,010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,,,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,16.2,No Different than U.S. National Rate,12.9,19.8,233,,10.6,No Different than U.S. National Rate,8.5,13.0,499,,12.6,No Different than U.S. National Rate,10.2,15.2,524,,19.3,No Different than U.S. National Rate,16.1,23.2,250,,26.8,No Different than U.S. National Rate,23.7,30.1,586,,19.5,No Different than U.S. National Rate,16.7,22.7,499,
40,010059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,,,MOULTON,AL,35650,LAWRENCE,2569742200,15.6,No Different than U.S. National Rate,12.1,19.6,34,,9.9,No Different than U.S. National Rate,6.9,13.8,85,,9.8,No Different than U.S. National Rate,7.2,13.3,161,,20.2,No Different than U.S. National Rate,16.5,24.5,34,,28.2,No Different than U.S. National Rate,23.5,33.3,105,,21.4,No Different than U.S. National Rate,17.6,25.2,179,
41,010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,,,SCOTTSBORO,AL,35768,JACKSON,2562594444,15.0,No Different than U.S. National Rate,11.3,19.4,35,,13.4,No Different than U.S. National Rate,10.1,17.3,154,,12.9,No Different than U.S. National Rate,10.4,15.8,459,,Not Available,Number of Cases Too Small,Not Available,Not Available,20,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.9,No Different than U.S. National Rate,22.7,31.7,165,,19.4,No Different than U.S. National Rate,16.7,22.5,489,
43,010065,RUSSELL HOSPITAL,3316 HIGHWAY 280,,,ALEXANDER CITY,AL,35010,TALLAPOOSA,2563297100,17.1,No Different than U.S. National Rate,13.2,21.5,81,,11.6,No Different than U.S. National Rate,9.0,15.2,159,,14.9,No Different than U.S. National Rate,11.6,18.8,183,,20.4,No Different than U.S. National Rate,16.3,25.2,74,,22.9,No Different than U.S. National Rate,19.2,27.1,208,,16.9,No Different than U.S. National Rate,13.8,20.7,207,
46,010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,,,ASHLAND,AL,36251,CLAY,2563542131,16.7,No Different than U.S. National Rate,12.9,20.7,27,,12.6,No Different than U.S. National Rate,9.4,16.8,92,,11.8,No Different than U.S. National Rate,8.5,15.8,125,,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.8,No Different than U.S. National Rate,21.2,30.9,103,,17.9,No Different than U.S. National Rate,14.2,22.1,125,
47,010078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,,,ANNISTON,AL,36207,CALHOUN,2562355121,15.6,No Different than U.S. National Rate,13.2,18.4,448,,11.2,No Different than U.S. National Rate,9.3,13.5,609,,13.2,No Different than U.S. National Rate,10.6,16.2,351,,19.4,No Different than U.S. National Rate,16.9,22.3,465,,24.9,No Different than U.S. National Rate,22.4,27.5,712,,19.8,No Different than U.S. National Rate,16.9,23.1,368,
48,010079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,,,ATHENS,AL,35611,LIMESTONE,2562339292,15.0,No Different than U.S. National Rate,11.5,19.1,44,,11.7,No Different than U.S. National Rate,9.1,14.9,182,,12.1,No Different than U.S. National Rate,9.3,15.7,202,,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.0,No Different than U.S. National Rate,21.1,29.2,210,,18.3,No Different than U.S. National Rate,15.1,22.0,203,
49,010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,,,FOLEY,AL,36535,BALDWIN,2519493400,15.8,No Different than U.S. National Rate,11.9,20.4,66,,15.1,Worse than U.S. National Rate,12.0,18.7,282,,9.8,No Different than U.S. National Rate,7.3,13.0,199,,18.6,No Different than U.S. National Rate,14.8,23.2,41,,26.3,No Different than U.S. National Rate,22.6,30.1,344,,15.0,No Different than U.S. National Rate,12.1,18.6,218,
50,010085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,,,DECATUR,AL,35609,MORGAN,2563412000,16.8,No Different than U.S. National Rate,13.2,20.9,74,,10.9,No Different than U.S. National Rate,8.7,13.5,375,,11.9,No Different than U.S. National Rate,9.5,14.8,354,,18.5,No Different than U.S. National Rate,14.7,23.0,52,,21.0,Better than U.S. National Rate,18.1,24.1,450,,20.2,No Different than U.S. National Rate,17.1,23.6,374,
53,010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,,,JASPER,AL,35502,WALKER,2053874000,17.0,No Different than U.S. National Rate,13.5,20.9,85,,10.8,No Different than U.S. National Rate,8.2,14.0,214,,11.9,No Different than U.S. National Rate,9.4,14.8,261,,18.8,No Different than U.S. National Rate,15.0,23.2,68,,22.8,No Different than U.S. National Rate,19.5,26.9,249,,16.7,No Different than U.S. National Rate,13.9,20.1,285,
54,010090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,,,MOBILE,AL,36608,MOBILE,2516331000,15.2,No Different than U.S. National Rate,12.1,19.0,191,,13.5,No Different than U.S. National Rate,11.1,16.3,478,,10.6,No Different than U.S. National Rate,8.5,13.1,451,,19.6,No Different than U.S. National Rate,16.0,23.5,200,,22.0,No Different than U.S. National Rate,19.3,25.1,568,,17.0,No Different than U.S. National Rate,14.4,20.1,465,
56,010092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,,,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111,15.8,No Different than U.S. National Rate,13.1,19.2,337,,11.2,No Different than U.S. National Rate,9.4,13.3,882,,11.3,No Different than U.S. National Rate,9.4,13.5,693,,20.3,No Different than U.S. National Rate,17.3,23.6,347,,25.3,No Different than U.S. National Rate,22.9,27.7,1087,,19.6,No Different than U.S. National Rate,17.1,22.2,726,
59,010099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,,,BREWTON,AL,36426,ESCAMBIA,2518678061,15.7,No Different than U.S. National Rate,11.9,20.4,27,,14.8,No Different than U.S. National Rate,10.9,19.7,104,,12.6,No Different than U.S. National Rate,9.2,17.0,153,,Not Available,Number of Cases Too Small,Not Available,Not Available,8,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.4,No Different than U.S. National Rate,21.0,30.8,108,,19.3,No Different than U.S. National Rate,15.5,23.7,153,
60,010100,THOMAS HOSPITAL,750 MORPHY AVENUE,,,FAIRHOPE,AL,36532,BALDWIN,2519282375,14.7,No Different than U.S. National Rate,11.6,18.6,184,,12.8,No Different than U.S. National Rate,10.1,16.0,317,,13.1,No Different than U.S. National Rate,10.2,16.8,192,,18.2,No Different than U.S. National Rate,14.8,22.1,213,,23.4,No Different than U.S. National Rate,20.1,27.1,372,,16.4,No Different than U.S. National Rate,13.4,20.4,197,
61,010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,,,TALLADEGA,AL,35161,TALLADEGA,2567614542,17.3,No Different than U.S. National Rate,13.4,22.2,33,,14.9,No Different than U.S. National Rate,11.3,19.4,113,,12.1,No Different than U.S. National Rate,8.8,16.6,96,,Not Available,Number of Cases Too Small,Not Available,Not Available,21,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.3,No Different than U.S. National Rate,19.3,28.0,132,,18.1,No Different than U.S. National Rate,14.4,22.3,100,
63,010103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,,,BIRMINGHAM,AL,35211,JEFFERSON,2057833800,14.9,No Different than U.S. National Rate,12.2,18.1,312,,11.4,No Different than U.S. National Rate,9.1,14.2,350,,11.6,No Different than U.S. National Rate,9.3,14.5,292,,19.2,No Different than U.S. National Rate,16.3,22.3,358,,22.2,No Different than U.S. National Rate,19.4,25.6,468,,17.5,No Different than U.S. National Rate,14.8,20.7,322,
64,010104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,,,BIRMINGHAM,AL,35213,JEFFERSON,2055921000,16.8,No Different than U.S. National Rate,13.9,20.4,320,,12.9,No Different than U.S. National Rate,10.3,16.2,356,,13.9,No Different than U.S. National Rate,11.0,17.6,246,,19.7,No Different than U.S. National Rate,16.8,23.2,355,,21.5,No Different than U.S. National Rate,18.5,24.9,436,,17.2,No Different than U.S. National Rate,14.3,20.6,264,
65,010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,,,PRATTVILLE,AL,36067,AUTAUGA,3343614267,14.6,No Different than U.S. National Rate,10.9,19.3,28,,14.8,No Different than U.S. National Rate,11.3,19.4,108,,14.2,No Different than U.S. National Rate,10.9,18.3,211,,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,27.0,No Different than U.S. National Rate,22.5,31.9,127,,20.5,No Different than U.S. National Rate,16.9,24.4,223,
69,010113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,,,MOBILE,AL,36652,MOBILE,2514354700,19.3,Worse than U.S. National Rate,15.6,23.4,247,,10.7,No Different than U.S. National Rate,8.8,12.7,798,,12.5,No Different than U.S. National Rate,10.5,14.9,612,,22.1,No Different than U.S. National Rate,18.4,26.2,246,,25.6,No Different than U.S. National Rate,23.3,28.0,1018,,20.3,No Different than U.S. National Rate,17.5,22.9,681,
70,010114,MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM,995 9TH AVENUE SOUTHWEST,,,BESSEMER,AL,35021,JEFFERSON,2054817000,15.3,No Different than U.S. National Rate,12.1,19.1,111,,11.4,No Different than U.S. National Rate,8.6,14.8,187,,12.1,No Different than U.S. National Rate,9.5,15.6,197,,20.6,No Different than U.S. National Rate,16.9,24.9,92,,23.8,No Different than U.S. National Rate,20.2,27.9,222,,20.3,No Different than U.S. National Rate,16.8,24.2,206,
