,x
1992,106
1993,157
1994,67
1995,35
1996,255
1997,98
1998,28
1999,30
2000,102
2001,44
2002,87
2003,121
2004,82
2005,112
2006,50
2007,59
2008,114
2009,72
2010,0
2011,0
2012,106
2013,39
2014,82
2015,238
2016,392
2017,82
2018,66
2019,86
2020,68
2021,104
2022,106
2023,105
2024,114
2025,84
2026,108
2027,199
2028,109
2029,188
2030,121
2031,72
2032,55
2033,94
2034,119
2035,102
2036,127
2037,106
2038,371
2039,13
2040,67
2041,106
2042,58
2043,152
2044,80
2045,56
2046,219
2047,0
2048,22
2049,37
2050,107
2051,167
2052,23
2053,64
2054,26
2055,44
2056,0
2057,119
2058,29
2059,98
2060,148
2061,68
2062,43
2063,123
2064,80
2065,67
2066,66
2067,0
2068,64
2069,115
2070,108
2071,22
2072,78
2073,107
2074,49
2075,39
2076,208
2077,73
2078,68
2079,62
2080,299
2081,80
2082,148
2083,251
2084,71
2085,120
2086,108
2087,70
2088,269
2089,87
2090,41
2091,17
2092,85
2093,26
2094,95
2095,0
2096,57
2097,122
2098,0
2099,32
2100,78
2101,371
2102,42
2103,82
2104,69
2105,0
2106,134
2107,119
2108,87
2109,105
2110,18
2111,110
2112,20
2113,115
2114,301
2115,238
2116,70
2117,199
2118,31
2119,87
2120,141
2121,95
2122,23
2123,140
2124,48
2125,269
2126,29
2127,63
2128,138
2129,0
2130,22
2131,89
2132,32
2133,82
2134,259
2135,98
2136,129
2137,103
2138,106
2139,75
2140,45
2141,66
2142,119
2143,314
2144,0
2145,84
2146,127
2147,51
2148,85
2149,195
2150,140
2151,150
2152,249
2153,0
2154,122
2155,75
2156,49
2157,47
2158,27
2159,74
2160,118
2161,0
2162,129
2163,82
2164,83
2165,391
2166,164
2167,83
2168,79
2169,29
2170,90
2171,88
2172,285
2173,62
2174,216
2175,79
2176,0
2177,41
2178,18
2179,62
2180,25
2181,49
2182,98
2183,139
2184,150
2185,107
2186,38
2187,87
2188,12
2189,114
2190,221
2191,124
2192,163
2193,103
2194,24
2195,165
2196,65
2197,203
2198,29
2199,104
2200,75
2201,88
2202,75
2203,164
2204,35
2205,43
2206,134
2207,53
2208,339
2209,27
2210,0
2211,68
2212,121
2213,167
2214,106
2215,24
2216,24
2217,124
2218,91
2219,65
2220,78
2221,41
2222,375
2223,82
2224,139
2225,181
2226,19
2227,76
2228,24
2229,41
2230,119
2231,102
2232,17
2233,132
2234,56
2235,85
2236,23
2237,0
2238,83
2239,117
2240,240
2241,105
2242,95
2243,84
2244,108
2245,100
2246,64
2247,178
2248,65
2249,20
2250,56
2251,114
2252,123
2253,87
2254,65
2255,35
2256,86
2257,113
2258,141
2259,28
2260,16
2261,0
2262,56
2263,82
2264,104
2265,50
2266,101
2267,101
2268,333
2269,347
2270,169
2271,231
2272,75
2273,41
2274,110
2275,99
2276,76
2277,95
2278,64
2279,17
2280,105
2281,110
2282,0
2283,114
2284,22
2285,63
2286,67
2287,85
2288,32
2289,36
2290,110
2291,66
2292,122
2293,98
2294,135
2295,16
2296,36
2297,349
2298,29
2299,116
2300,70
2301,127
2302,91
2303,60
2304,64
2305,65
2306,0
2307,101
2308,25
2309,142
2310,101
2311,29
2312,19
2313,109
2314,103
2315,97
2316,91
2317,78
2318,103
2319,0
2320,126
2321,131
2322,258
2323,186
2324,24
2325,137
2326,106
2327,60
2328,279
2329,0
2330,42
2331,129
2332,134
2333,75
2334,29
2335,152
2336,200
2337,82
2338,102
2339,52
2340,95
2341,266
2342,126
2343,54
2344,222
2345,89
2346,90
2347,117
2348,137
2349,144
2350,0
2351,106
2352,116
2353,95
2354,47
2355,80
2356,17
2357,37
2358,27
2359,157
2360,114
2361,41
2362,147
2363,22
2364,108
2365,134
2366,0
2367,117
2368,71
2369,128
2370,63
2371,21
2372,27
2373,148
2374,27
2375,69
2376,113
2377,39
2378,53
2379,238
2380,131
2381,117
2382,86
2383,12
2384,95
2385,42
2386,81
2387,83
2388,105
2389,133
2390,126
2391,51
2392,57
2393,23
2394,24
2395,47
2396,49
2397,106
2398,72
2399,102
2400,0
2401,101
2402,113
2403,24
2404,27
2405,133
2406,20
2407,136
2408,96
2409,19
2410,93
2411,78
2412,91
2413,79
2414,92
2415,85
2416,58
2417,56
2418,213
2419,96
2420,67
2421,65
2422,120
2423,87
2424,18
2425,115
2426,58
2427,36
2428,119
2429,239
2430,32
2431,134
2432,63
2433,104
2434,0
2435,80
2436,132
2437,95
2438,252
2439,167
2440,139
2441,25
2442,77
2443,42
2444,153
2445,73
2446,164
2447,99
2448,90
2449,114
2450,80
2451,85
2452,193
2453,0
2454,39
2455,122
2456,137
2457,359
2458,0
2459,122
2460,19
2461,82
2462,106
2463,109
2464,123
2465,46
2466,51
2467,95
2468,88
2469,547
2470,27
2471,0
2472,98
2473,125
2474,23
2475,68
2476,85
2477,69
2478,99
2479,91
2480,63
2481,67
2482,17
2483,78
2484,113
2485,94
2486,33
2487,291
2488,90
2489,129
2490,86
2491,75
2492,117
2493,127
2494,347
2495,40
2496,117
2497,95
2498,65
2499,114
2500,131
2501,110
2502,69
2503,108
2504,32
2505,70
2506,63
2507,69
2508,62
2509,81
2510,126
2511,180
2512,128
2513,127
2514,69
2515,95
2516,160
2517,48
2518,43
2519,13
2520,29
2521,91
2522,69
2523,61
2524,61
2525,97
2526,0
2527,78
2528,18
2529,74
2530,0
2531,0
2532,88
2533,24
2534,21
2535,17
2536,460
2537,58
2538,110
2539,83
2540,0
2541,114
2542,82
2543,98
2544,59
2545,128
2546,51
2547,154
2548,75
2549,49
2550,129
2551,123
2552,39
2553,80
2554,71
2555,65
2556,231
2557,63
2558,118
2559,63
2560,121
2561,132
2562,92
2563,63
2564,99
2565,57
2566,331
2567,92
2568,135
2569,16
2570,104
2571,184
2572,75
2573,98
2574,98
2575,129
2576,110
2577,52
2578,95
2579,126
2580,27
2581,51
2582,294
2583,40
2584,111
2585,56
2586,115
2587,36
2588,60
2589,0
2590,122
2591,70
2592,21
2593,0
2594,84
2595,0
2596,85
2597,61
2598,46
2599,19
2600,24
2601,27
2602,75
2603,22
2604,240
2605,20
2606,107
2607,119
2608,103
2609,219
2610,396
2611,170
2612,75
2613,124
2614,30
2615,148
2616,19
2617,68
2618,50
2619,246
2620,106
2621,131
2622,72
2623,101
2624,119
2625,272
2626,93
2627,119
2628,111
2629,95
2630,60
2631,78
2632,122
2633,46
2634,346
2635,33
2636,0
2637,105
2638,116
2639,54
2640,29
2641,65
2642,103
2643,398
2644,223
2645,207
2646,106
2647,98
2648,0
2649,78
2650,78
2651,72
2652,93
2653,112
2654,176
2655,20
2656,110
2657,97
2658,33
2659,157
2660,0
2661,92
2662,38
2663,155
2664,150
2665,321
2666,120
2667,74
2668,67
2669,122
2670,49
2671,81
2672,135
2673,110
2674,86
2675,22
2676,131
2677,126
2678,0
2679,147
2680,56
2681,74
2682,109
2683,32
2684,128
2685,57
2686,122
2687,126
2688,109
2689,226
2690,0
2691,114
2692,46
2693,19
2694,78
2695,76
2696,82
2697,25
2698,122
2699,76
2700,95
2701,66
2702,112
2703,64
2704,0
2705,78
2706,74
2707,34
2708,113
2709,0
2710,106
2711,62
2712,110
2713,93
2714,78
2715,98
2716,238
2717,45
2718,59
2719,54
2720,126
2721,157
2722,112
2723,140
2724,106
2725,248
2726,222
2727,76
2728,90
2729,114
2730,123
2731,23
2732,47
2733,38
2734,155
2735,26
2736,90
2737,54
2738,283
2739,289
2740,25
2741,0
2742,203
2743,349
2744,0
2745,37
2746,97
2747,104
2748,139
2749,86
2750,82
2751,42
2752,35
2753,85
2754,0
2755,21
2756,48
2757,62
2758,135
2759,162
2760,69
2761,106
2762,0
2763,105
2764,92
2765,87
2766,103
2767,47
2768,78
2769,0
2770,39
2771,120
2772,149
2773,25
2774,23
2775,119
2776,106
2777,88
2778,105
2779,72
2780,72
2781,112
2782,138
2783,61
2784,208
2785,20
2786,161
2787,27
2788,35
2789,0
2790,131
2791,104
2792,59
2793,86
2794,78
2795,51
2796,122
2797,85
2798,127
2799,100
2800,93
2801,92
2802,144
2803,41
2804,112
2805,24
2806,98
2807,88
2808,67
2809,18
2810,79
2811,68
2812,59
2813,64
2814,50
2815,103
2816,56
2817,74
2818,112
2819,180
2820,123
2821,73
2822,0
2823,66
2824,93
2825,63
2826,98
2827,74
2828,112
2829,24
2830,102
2831,101
2832,48
2833,184
2834,28
2835,82
2836,89
2837,94
2838,20
2839,0
2840,297
2841,97
2842,114
2843,96
2844,215
2845,32
2846,90
2847,219
2848,191
2849,46
2850,34
2851,167
2852,101
2853,76
2854,207
2855,79
2856,70
2857,235
2858,115
2859,55
2860,83
2861,39
2862,29
2863,23
2864,107
2865,248
2866,55
2867,50
2868,90
2869,300
2870,0
2871,127
2872,79
2873,67
2874,54
2875,77
2876,138
2877,78
2878,411
2879,109
2880,0
2881,54
2882,83
2883,114
2884,70
2885,86
2886,33
2887,25
2888,134
2889,239
2890,115
2891,0
2892,105
2893,48
2894,0
2895,33
2896,0
2897,390
2898,26
2899,133
2900,87
2901,179
2902,27
2903,108
2904,93
2905,158
2906,37
2907,30
2908,14
2909,0
2910,122
2911,203
2912,15
2913,68
2914,83
2915,25
2916,80
2917,166
2918,90
2919,78
2920,0
2921,73
2922,155
2923,147
2924,105
2925,96
2926,22
2927,82
2928,105
2929,139
2930,80
2931,83
2932,80
2933,0
2934,120
2935,99
2936,74
2937,82
2938,114
2939,65
2940,31
2941,142
2942,86
2943,112
2944,53
2945,12
2946,70
2947,30
2948,42
2949,57
2950,78
2951,378
2952,22
2953,26
2954,107
2955,443
2956,27
2957,78
2958,27
2959,114
2960,137
2961,78
2962,71
2963,115
2964,117
2965,81
2966,21
2967,75
2968,92
2969,103
2970,118
2971,121
2972,97
2973,80
2974,27
2975,0
2976,46
2977,42
2978,68
2979,78
2980,27
2981,201
2982,62
2983,139
2984,78
2985,59
2986,70
2987,316
2988,329
2989,54
2990,85
2991,100
2992,197
2993,134
2994,124
2995,96
2996,220
2997,62
2998,87
