,x
181,2007-09-20
182,2007-09-21
183,2007-09-24
184,2007-09-25
185,2007-09-26
186,2007-09-27
187,2007-09-28
188,2007-10-01
189,2007-10-02
190,2007-10-03
191,2007-10-04
192,2007-10-05
193,2007-10-08
194,2007-10-09
195,2007-10-10
196,2007-10-11
197,2007-10-12
198,2007-10-15
199,2007-10-16
200,2007-10-17
201,2007-10-18
202,2007-10-19
203,2007-10-22
204,2007-10-23
205,2007-10-24
206,2007-10-25
207,2007-10-26
208,2007-10-29
209,2007-10-30
210,2007-10-31
211,2007-11-01
212,2007-11-02
213,2007-11-05
214,2007-11-06
215,2007-11-07
216,2007-11-08
217,2007-11-09
218,2007-11-12
219,2007-11-13
220,2007-11-14
221,2007-11-15
222,2007-11-16
223,2007-11-19
224,2007-11-20
225,2007-11-21
226,2007-11-23
227,2007-11-26
228,2007-11-27
229,2007-11-28
230,2007-11-29
231,2007-11-30
232,2007-12-03
233,2007-12-04
234,2007-12-05
235,2007-12-06
236,2007-12-07
237,2007-12-10
238,2007-12-11
239,2007-12-12
240,2007-12-13
241,2007-12-14
242,2007-12-17
243,2007-12-18
244,2007-12-19
245,2007-12-20
246,2007-12-21
247,2007-12-24
248,2007-12-26
249,2007-12-27
250,2007-12-28
251,2007-12-31
252,2008-01-02
253,2008-01-03
254,2008-01-04
255,2008-01-07
256,2008-01-08
257,2008-01-09
258,2008-01-10
259,2008-01-11
260,2008-01-14
261,2008-01-15
262,2008-01-16
263,2008-01-17
264,2008-01-18
265,2008-01-22
266,2008-01-23
267,2008-01-24
268,2008-01-25
269,2008-01-28
270,2008-01-29
271,2008-01-30
272,2008-01-31
273,2008-02-01
274,2008-02-04
275,2008-02-05
276,2008-02-06
277,2008-02-07
278,2008-02-08
279,2008-02-11
280,2008-02-12
281,2008-02-13
282,2008-02-14
283,2008-02-15
284,2008-02-19
285,2008-02-20
286,2008-02-21
287,2008-02-22
288,2008-02-25
289,2008-02-26
290,2008-02-27
291,2008-02-28
292,2008-02-29
293,2008-03-03
294,2008-03-04
295,2008-03-05
296,2008-03-06
297,2008-03-07
298,2008-03-10
299,2008-03-11
300,2008-03-12
301,2008-03-13
302,2008-03-14
303,2008-03-17
304,2008-03-18
305,2008-03-19
306,2008-03-20
307,2008-03-24
308,2008-03-25
309,2008-03-26
310,2008-03-27
311,2008-03-28
312,2008-03-31
313,2008-04-01
314,2008-04-02
315,2008-04-03
316,2008-04-04
317,2008-04-07
318,2008-04-08
319,2008-04-09
320,2008-04-10
321,2008-04-11
322,2008-04-14
323,2008-04-15
324,2008-04-16
325,2008-04-17
326,2008-04-18
327,2008-04-21
328,2008-04-22
329,2008-04-23
330,2008-04-24
331,2008-04-25
332,2008-04-28
333,2008-04-29
334,2008-04-30
335,2008-05-01
336,2008-05-02
337,2008-05-05
338,2008-05-06
339,2008-05-07
340,2008-05-08
341,2008-05-09
342,2008-05-12
343,2008-05-13
344,2008-05-14
345,2008-05-15
346,2008-05-16
347,2008-05-19
348,2008-05-20
349,2008-05-21
350,2008-05-22
351,2008-05-23
352,2008-05-27
353,2008-05-28
354,2008-05-29
355,2008-05-30
356,2008-06-02
357,2008-06-03
358,2008-06-04
359,2008-06-05
360,2008-06-06
361,2008-06-09
362,2008-06-10
363,2008-06-11
364,2008-06-12
365,2008-06-13
366,2008-06-16
367,2008-06-17
368,2008-06-18
369,2008-06-19
370,2008-06-20
371,2008-06-23
372,2008-06-24
373,2008-06-25
374,2008-06-26
375,2008-06-27
376,2008-06-30
377,2008-07-01
378,2008-07-02
379,2008-07-03
380,2008-07-07
381,2008-07-08
382,2008-07-09
383,2008-07-10
384,2008-07-11
385,2008-07-14
386,2008-07-15
387,2008-07-16
388,2008-07-17
389,2008-07-18
390,2008-07-21
391,2008-07-22
392,2008-07-23
393,2008-07-24
394,2008-07-25
395,2008-07-28
396,2008-07-29
397,2008-07-30
398,2008-07-31
399,2008-08-01
400,2008-08-04
401,2008-08-05
402,2008-08-06
403,2008-08-07
404,2008-08-08
405,2008-08-11
406,2008-08-12
407,2008-08-13
408,2008-08-14
409,2008-08-15
410,2008-08-18
411,2008-08-19
412,2008-08-20
413,2008-08-21
414,2008-08-22
415,2008-08-25
416,2008-08-26
417,2008-08-27
418,2008-08-28
419,2008-08-29
420,2008-09-02
421,2008-09-03
422,2008-09-04
423,2008-09-05
424,2008-09-08
425,2008-09-09
426,2008-09-10
427,2008-09-11
428,2008-09-12
429,2008-09-15
430,2008-09-16
431,2008-09-17
432,2008-09-18
433,2008-09-19
434,2008-09-22
435,2008-09-23
436,2008-09-24
437,2008-09-25
438,2008-09-26
439,2008-09-29
440,2008-09-30
441,2008-10-01
442,2008-10-02
443,2008-10-03
444,2008-10-06
445,2008-10-07
446,2008-10-08
447,2008-10-09
448,2008-10-10
449,2008-10-13
450,2008-10-14
451,2008-10-15
452,2008-10-16
453,2008-10-17
454,2008-10-20
455,2008-10-21
456,2008-10-22
457,2008-10-23
458,2008-10-24
459,2008-10-27
460,2008-10-28
461,2008-10-29
462,2008-10-30
463,2008-10-31
464,2008-11-03
465,2008-11-04
466,2008-11-05
467,2008-11-06
468,2008-11-07
469,2008-11-10
470,2008-11-11
471,2008-11-12
472,2008-11-13
473,2008-11-14
474,2008-11-17
475,2008-11-18
476,2008-11-19
477,2008-11-20
478,2008-11-21
479,2008-11-24
480,2008-11-25
481,2008-11-26
482,2008-11-28
483,2008-12-01
484,2008-12-02
485,2008-12-03
486,2008-12-04
487,2008-12-05
488,2008-12-08
489,2008-12-09
490,2008-12-10
491,2008-12-11
492,2008-12-12
493,2008-12-15
494,2008-12-16
495,2008-12-17
496,2008-12-18
497,2008-12-19
498,2008-12-22
499,2008-12-23
500,2008-12-24
501,2008-12-26
502,2008-12-29
503,2008-12-30
504,2008-12-31
505,2009-01-02
506,2009-01-05
507,2009-01-06
508,2009-01-07
509,2009-01-08
510,2009-01-09
511,2009-01-12
512,2009-01-13
513,2009-01-14
514,2009-01-15
515,2009-01-16
516,2009-01-20
517,2009-01-21
518,2009-01-22
519,2009-01-23
520,2009-01-26
521,2009-01-27
522,2009-01-28
523,2009-01-29
524,2009-01-30
525,2009-02-02
526,2009-02-03
527,2009-02-04
528,2009-02-05
529,2009-02-06
530,2009-02-09
531,2009-02-10
532,2009-02-11
533,2009-02-12
534,2009-02-13
535,2009-02-17
536,2009-02-18
537,2009-02-19
538,2009-02-20
539,2009-02-23
540,2009-02-24
541,2009-02-25
542,2009-02-26
543,2009-02-27
544,2009-03-02
545,2009-03-03
546,2009-03-04
547,2009-03-05
548,2009-03-06
549,2009-03-09
550,2009-03-10
551,2009-03-11
552,2009-03-12
553,2009-03-13
554,2009-03-16
555,2009-03-17
556,2009-03-18
557,2009-03-19
558,2009-03-20
559,2009-03-23
560,2009-03-24
561,2009-03-25
562,2009-03-26
563,2009-03-27
564,2009-03-30
565,2009-03-31
566,2009-04-01
567,2009-04-02
568,2009-04-03
569,2009-04-06
570,2009-04-07
571,2009-04-08
572,2009-04-09
573,2009-04-13
574,2009-04-14
575,2009-04-15
576,2009-04-16
577,2009-04-17
578,2009-04-20
579,2009-04-21
580,2009-04-22
581,2009-04-23
582,2009-04-24
583,2009-04-27
584,2009-04-28
585,2009-04-29
586,2009-04-30
587,2009-05-01
588,2009-05-04
589,2009-05-05
590,2009-05-06
591,2009-05-07
592,2009-05-08
593,2009-05-11
594,2009-05-12
595,2009-05-13
596,2009-05-14
597,2009-05-15
598,2009-05-18
599,2009-05-19
600,2009-05-20
601,2009-05-21
602,2009-05-22
603,2009-05-26
604,2009-05-27
605,2009-05-28
606,2009-05-29
607,2009-06-01
608,2009-06-02
609,2009-06-03
610,2009-06-04
611,2009-06-05
612,2009-06-08
613,2009-06-09
614,2009-06-10
615,2009-06-11
616,2009-06-12
617,2009-06-15
618,2009-06-16
619,2009-06-17
620,2009-06-18
621,2009-06-19
622,2009-06-22
623,2009-06-23
624,2009-06-24
625,2009-06-25
626,2009-06-26
627,2009-06-29
628,2009-06-30
629,2009-07-01
630,2009-07-02
631,2009-07-06
632,2009-07-07
633,2009-07-08
634,2009-07-09
635,2009-07-10
636,2009-07-13
637,2009-07-14
638,2009-07-15
639,2009-07-16
640,2009-07-17
641,2009-07-20
642,2009-07-21
643,2009-07-22
644,2009-07-23
645,2009-07-24
646,2009-07-27
647,2009-07-28
648,2009-07-29
649,2009-07-30
650,2009-07-31
651,2009-08-03
652,2009-08-04
653,2009-08-05
654,2009-08-06
655,2009-08-07
656,2009-08-10
657,2009-08-11
658,2009-08-12
659,2009-08-13
660,2009-08-14
661,2009-08-17
662,2009-08-18
663,2009-08-19
664,2009-08-20
665,2009-08-21
666,2009-08-24
667,2009-08-25
668,2009-08-26
669,2009-08-27
670,2009-08-28
671,2009-08-31
672,2009-09-01
673,2009-09-02
674,2009-09-03
675,2009-09-04
676,2009-09-08
677,2009-09-09
678,2009-09-10
679,2009-09-11
680,2009-09-14
681,2009-09-15
682,2009-09-16
683,2009-09-17
684,2009-09-18
685,2009-09-21
686,2009-09-22
687,2009-09-23
688,2009-09-24
689,2009-09-25
690,2009-09-28
691,2009-09-29
692,2009-09-30
693,2009-10-01
694,2009-10-02
695,2009-10-05
696,2009-10-06
697,2009-10-07
698,2009-10-08
699,2009-10-09
700,2009-10-12
701,2009-10-13
702,2009-10-14
703,2009-10-15
704,2009-10-16
705,2009-10-19
706,2009-10-20
707,2009-10-21
708,2009-10-22
709,2009-10-23
710,2009-10-26
711,2009-10-27
712,2009-10-28
713,2009-10-29
714,2009-10-30
715,2009-11-02
716,2009-11-03
717,2009-11-04
718,2009-11-05
719,2009-11-06
720,2009-11-09
721,2009-11-10
722,2009-11-11
723,2009-11-12
724,2009-11-13
725,2009-11-16
726,2009-11-17
727,2009-11-18
728,2009-11-19
729,2009-11-20
730,2009-11-23
731,2009-11-24
732,2009-11-25
733,2009-11-27
734,2009-11-30
735,2009-12-01
736,2009-12-02
737,2009-12-03
738,2009-12-04
739,2009-12-07
740,2009-12-08
741,2009-12-09
742,2009-12-10
743,2009-12-11
744,2009-12-14
745,2009-12-15
746,2009-12-16
747,2009-12-17
748,2009-12-18
749,2009-12-21
750,2009-12-22
751,2009-12-23
752,2009-12-24
753,2009-12-28
754,2009-12-29
755,2009-12-30
756,2009-12-31
757,2010-01-04
758,2010-01-05
759,2010-01-06
760,2010-01-07
761,2010-01-08
762,2010-01-11
763,2010-01-12
764,2010-01-13
765,2010-01-14
766,2010-01-15
767,2010-01-19
768,2010-01-20
769,2010-01-21
770,2010-01-22
771,2010-01-25
772,2010-01-26
773,2010-01-27
774,2010-01-28
775,2010-01-29
776,2010-02-01
777,2010-02-02
778,2010-02-03
779,2010-02-04
780,2010-02-05
781,2010-02-08
782,2010-02-09
783,2010-02-10
784,2010-02-11
785,2010-02-12
786,2010-02-16
787,2010-02-17
788,2010-02-18
789,2010-02-19
790,2010-02-22
791,2010-02-23
792,2010-02-24
793,2010-02-25
794,2010-02-26
795,2010-03-01
796,2010-03-02
797,2010-03-03
798,2010-03-04
799,2010-03-05
800,2010-03-08
801,2010-03-09
802,2010-03-10
803,2010-03-11
804,2010-03-12
805,2010-03-15
806,2010-03-16
807,2010-03-17
808,2010-03-18
809,2010-03-19
810,2010-03-22
811,2010-03-23
812,2010-03-24
813,2010-03-25
814,2010-03-26
815,2010-03-29
816,2010-03-30
817,2010-03-31
818,2010-04-01
819,2010-04-05
820,2010-04-06
821,2010-04-07
822,2010-04-08
823,2010-04-09
824,2010-04-12
825,2010-04-13
826,2010-04-14
827,2010-04-15
828,2010-04-16
829,2010-04-19
830,2010-04-20
831,2010-04-21
832,2010-04-22
833,2010-04-23
834,2010-04-26
835,2010-04-27
836,2010-04-28
837,2010-04-29
838,2010-04-30
839,2010-05-03
840,2010-05-04
841,2010-05-05
842,2010-05-06
843,2010-05-07
844,2010-05-10
845,2010-05-11
846,2010-05-12
847,2010-05-13
848,2010-05-14
849,2010-05-17
850,2010-05-18
851,2010-05-19
852,2010-05-20
853,2010-05-21
854,2010-05-24
855,2010-05-25
856,2010-05-26
857,2010-05-27
858,2010-05-28
859,2010-06-01
860,2010-06-02
861,2010-06-03
862,2010-06-04
863,2010-06-07
864,2010-06-08
865,2010-06-09
866,2010-06-10
867,2010-06-11
868,2010-06-14
869,2010-06-15
870,2010-06-16
871,2010-06-17
872,2010-06-18
873,2010-06-21
874,2010-06-22
875,2010-06-23
876,2010-06-24
877,2010-06-25
878,2010-06-28
879,2010-06-29
880,2010-06-30
881,2010-07-01
882,2010-07-02
883,2010-07-06
884,2010-07-07
885,2010-07-08
886,2010-07-09
887,2010-07-12
888,2010-07-13
889,2010-07-14
890,2010-07-15
891,2010-07-16
892,2010-07-19
893,2010-07-20
894,2010-07-21
895,2010-07-22
896,2010-07-23
897,2010-07-26
898,2010-07-27
899,2010-07-28
900,2010-07-29
901,2010-07-30
902,2010-08-02
903,2010-08-03
904,2010-08-04
905,2010-08-05
906,2010-08-06
907,2010-08-09
908,2010-08-10
909,2010-08-11
910,2010-08-12
911,2010-08-13
912,2010-08-16
913,2010-08-17
914,2010-08-18
915,2010-08-19
916,2010-08-20
917,2010-08-23
918,2010-08-24
919,2010-08-25
920,2010-08-26
921,2010-08-27
922,2010-08-30
923,2010-08-31
924,2010-09-01
925,2010-09-02
926,2010-09-03
927,2010-09-07
928,2010-09-08
929,2010-09-09
930,2010-09-10
931,2010-09-13
932,2010-09-14
933,2010-09-15
934,2010-09-16
935,2010-09-17
936,2010-09-20
937,2010-09-21
938,2010-09-22
939,2010-09-23
940,2010-09-24
941,2010-09-27
942,2010-09-28
943,2010-09-29
944,2010-09-30
945,2010-10-01
946,2010-10-04
947,2010-10-05
948,2010-10-06
949,2010-10-07
950,2010-10-08
951,2010-10-11
952,2010-10-12
953,2010-10-13
954,2010-10-14
955,2010-10-15
956,2010-10-18
957,2010-10-19
958,2010-10-20
959,2010-10-21
960,2010-10-22
961,2010-10-25
962,2010-10-26
963,2010-10-27
964,2010-10-28
965,2010-10-29
966,2010-11-01
967,2010-11-02
968,2010-11-03
969,2010-11-04
970,2010-11-05
971,2010-11-08
972,2010-11-09
973,2010-11-10
974,2010-11-11
975,2010-11-12
976,2010-11-15
977,2010-11-16
978,2010-11-17
979,2010-11-18
980,2010-11-19
981,2010-11-22
982,2010-11-23
983,2010-11-24
984,2010-11-26
985,2010-11-29
986,2010-11-30
987,2010-12-01
988,2010-12-02
989,2010-12-03
990,2010-12-06
991,2010-12-07
992,2010-12-08
993,2010-12-09
994,2010-12-10
995,2010-12-13
996,2010-12-14
997,2010-12-15
998,2010-12-16
999,2010-12-17
1000,2010-12-20
1001,2010-12-21
1002,2010-12-22
1003,2010-12-23
1004,2010-12-27
1005,2010-12-28
1006,2010-12-29
1007,2010-12-30
1008,2010-12-31
1009,2011-01-03
1010,2011-01-04
1011,2011-01-05
1012,2011-01-06
1013,2011-01-07
1014,2011-01-10
1015,2011-01-11
1016,2011-01-12
1017,2011-01-13
1018,2011-01-14
1019,2011-01-18
1020,2011-01-19
1021,2011-01-20
1022,2011-01-21
1023,2011-01-24
1024,2011-01-25
1025,2011-01-26
1026,2011-01-27
1027,2011-01-28
1028,2011-01-31
1029,2011-02-01
1030,2011-02-02
1031,2011-02-03
1032,2011-02-04
1033,2011-02-07
1034,2011-02-08
1035,2011-02-09
1036,2011-02-10
1037,2011-02-11
1038,2011-02-14
1039,2011-02-15
1040,2011-02-16
1041,2011-02-17
1042,2011-02-18
1043,2011-02-22
1044,2011-02-23
1045,2011-02-24
1046,2011-02-25
1047,2011-02-28
1048,2011-03-01
1049,2011-03-02
1050,2011-03-03
1051,2011-03-04
1052,2011-03-07
1053,2011-03-08
1054,2011-03-09
1055,2011-03-10
1056,2011-03-11
1057,2011-03-14
1058,2011-03-15
1059,2011-03-16
1060,2011-03-17
1061,2011-03-18
1062,2011-03-21
1063,2011-03-22
1064,2011-03-23
1065,2011-03-24
1066,2011-03-25
1067,2011-03-28
1068,2011-03-29
1069,2011-03-30
1070,2011-03-31
1071,2011-04-01
1072,2011-04-04
1073,2011-04-05
1074,2011-04-06
1075,2011-04-07
1076,2011-04-08
1077,2011-04-11
1078,2011-04-12
1079,2011-04-13
1080,2011-04-14
1081,2011-04-15
1082,2011-04-18
1083,2011-04-19
1084,2011-04-20
1085,2011-04-21
1086,2011-04-25
1087,2011-04-26
1088,2011-04-27
1089,2011-04-28
1090,2011-04-29
1091,2011-05-02
1092,2011-05-03
1093,2011-05-04
1094,2011-05-05
1095,2011-05-06
1096,2011-05-09
1097,2011-05-10
1098,2011-05-11
1099,2011-05-12
1100,2011-05-13
1101,2011-05-16
1102,2011-05-17
1103,2011-05-18
1104,2011-05-19
1105,2011-05-20
1106,2011-05-23
1107,2011-05-24
1108,2011-05-25
1109,2011-05-26
1110,2011-05-27
1111,2011-05-31
1112,2011-06-01
1113,2011-06-02
1114,2011-06-03
1115,2011-06-06
1116,2011-06-07
1117,2011-06-08
1118,2011-06-09
1119,2011-06-10
1120,2011-06-13
1121,2011-06-14
1122,2011-06-15
1123,2011-06-16
1124,2011-06-17
1125,2011-06-20
1126,2011-06-21
1127,2011-06-22
1128,2011-06-23
1129,2011-06-24
1130,2011-06-27
1131,2011-06-28
1132,2011-06-29
1133,2011-06-30
1134,2011-07-01
1135,2011-07-05
1136,2011-07-06
1137,2011-07-07
1138,2011-07-08
1139,2011-07-11
1140,2011-07-12
1141,2011-07-13
1142,2011-07-14
1143,2011-07-15
1144,2011-07-18
1145,2011-07-19
1146,2011-07-20
1147,2011-07-21
1148,2011-07-22
1149,2011-07-25
1150,2011-07-26
1151,2011-07-27
1152,2011-07-28
1153,2011-07-29
1154,2011-08-01
1155,2011-08-02
1156,2011-08-03
1157,2011-08-04
1158,2011-08-05
1159,2011-08-08
1160,2011-08-09
1161,2011-08-10
1162,2011-08-11
1163,2011-08-12
1164,2011-08-15
1165,2011-08-16
1166,2011-08-17
1167,2011-08-18
1168,2011-08-19
1169,2011-08-22
1170,2011-08-23
1171,2011-08-24
1172,2011-08-25
1173,2011-08-26
1174,2011-08-29
1175,2011-08-30
1176,2011-08-31
1177,2011-09-01
1178,2011-09-02
1179,2011-09-06
1180,2011-09-07
1181,2011-09-08
1182,2011-09-09
1183,2011-09-12
1184,2011-09-13
1185,2011-09-14
1186,2011-09-15
1187,2011-09-16
1188,2011-09-19
1189,2011-09-20
1190,2011-09-21
1191,2011-09-22
1192,2011-09-23
1193,2011-09-26
1194,2011-09-27
1195,2011-09-28
1196,2011-09-29
1197,2011-09-30
1198,2011-10-03
1199,2011-10-04
1200,2011-10-05
1201,2011-10-06
1202,2011-10-07
1203,2011-10-10
1204,2011-10-11
1205,2011-10-12
1206,2011-10-13
1207,2011-10-14
1208,2011-10-17
1209,2011-10-18
1210,2011-10-19
1211,2011-10-20
1212,2011-10-21
1213,2011-10-24
1214,2011-10-25
1215,2011-10-26
1216,2011-10-27
1217,2011-10-28
1218,2011-10-31
1219,2011-11-01
1220,2011-11-02
1221,2011-11-03
1222,2011-11-04
1223,2011-11-07
1224,2011-11-08
1225,2011-11-09
1226,2011-11-10
1227,2011-11-11
1228,2011-11-14
1229,2011-11-15
1230,2011-11-16
1231,2011-11-17
1232,2011-11-18
1233,2011-11-21
1234,2011-11-22
1235,2011-11-23
1236,2011-11-25
1237,2011-11-28
1238,2011-11-29
1239,2011-11-30
1240,2011-12-01
1241,2011-12-02
1242,2011-12-05
1243,2011-12-06
1244,2011-12-07
1245,2011-12-08
1246,2011-12-09
1247,2011-12-12
1248,2011-12-13
1249,2011-12-14
1250,2011-12-15
1251,2011-12-16
1252,2011-12-19
1253,2011-12-20
1254,2011-12-21
1255,2011-12-22
1256,2011-12-23
1257,2011-12-27
1258,2011-12-28
1259,2011-12-29
1260,2011-12-30
1261,2012-01-03
1262,2012-01-04
1263,2012-01-05
1264,2012-01-06
1265,2012-01-09
1266,2012-01-10
1267,2012-01-11
1268,2012-01-12
1269,2012-01-13
1270,2012-01-17
1271,2012-01-18
1272,2012-01-19
1273,2012-01-20
1274,2012-01-23
1275,2012-01-24
1276,2012-01-25
1277,2012-01-26
1278,2012-01-27
1279,2012-01-30
1280,2012-01-31
1281,2012-02-01
1282,2012-02-02
1283,2012-02-03
1284,2012-02-06
1285,2012-02-07
1286,2012-02-08
1287,2012-02-09
1288,2012-02-10
1289,2012-02-13
1290,2012-02-14
1291,2012-02-15
1292,2012-02-16
1293,2012-02-17
1294,2012-02-21
1295,2012-02-22
1296,2012-02-23
1297,2012-02-24
1298,2012-02-27
1299,2012-02-28
1300,2012-02-29
1301,2012-03-01
1302,2012-03-02
1303,2012-03-05
1304,2012-03-06
1305,2012-03-07
1306,2012-03-08
1307,2012-03-09
1308,2012-03-12
1309,2012-03-13
1310,2012-03-14
1311,2012-03-15
1312,2012-03-16
1313,2012-03-19
1314,2012-03-20
1315,2012-03-21
1316,2012-03-22
1317,2012-03-23
1318,2012-03-26
1319,2012-03-27
1320,2012-03-28
1321,2012-03-29
1322,2012-03-30
1323,2012-04-02
1324,2012-04-03
1325,2012-04-04
1326,2012-04-05
1327,2012-04-09
1328,2012-04-10
1329,2012-04-11
1330,2012-04-12
1331,2012-04-13
1332,2012-04-16
1333,2012-04-17
1334,2012-04-18
1335,2012-04-19
1336,2012-04-20
1337,2012-04-23
1338,2012-04-24
1339,2012-04-25
1340,2012-04-26
1341,2012-04-27
1342,2012-04-30
1343,2012-05-01
1344,2012-05-02
1345,2012-05-03
1346,2012-05-04
1347,2012-05-07
1348,2012-05-08
1349,2012-05-09
1350,2012-05-10
1351,2012-05-11
1352,2012-05-14
1353,2012-05-15
1354,2012-05-16
1355,2012-05-17
1356,2012-05-18
1357,2012-05-21
1358,2012-05-22
1359,2012-05-23
1360,2012-05-24
1361,2012-05-25
1362,2012-05-29
1363,2012-05-30
1364,2012-05-31
1365,2012-06-01
1366,2012-06-04
1367,2012-06-05
1368,2012-06-06
1369,2012-06-07
1370,2012-06-08
1371,2012-06-11
1372,2012-06-12
1373,2012-06-13
1374,2012-06-14
1375,2012-06-15
1376,2012-06-18
1377,2012-06-19
1378,2012-06-20
1379,2012-06-21
1380,2012-06-22
1381,2012-06-25
1382,2012-06-26
1383,2012-06-27
1384,2012-06-28
1385,2012-06-29
1386,2012-07-02
1387,2012-07-03
1388,2012-07-05
1389,2012-07-06
1390,2012-07-09
1391,2012-07-10
1392,2012-07-11
1393,2012-07-12
1394,2012-07-13
1395,2012-07-16
1396,2012-07-17
1397,2012-07-18
1398,2012-07-19
1399,2012-07-20
1400,2012-07-23
1401,2012-07-24
1402,2012-07-25
1403,2012-07-26
1404,2012-07-27
1405,2012-07-30
1406,2012-07-31
1407,2012-08-01
1408,2012-08-02
1409,2012-08-03
1410,2012-08-06
1411,2012-08-07
1412,2012-08-08
1413,2012-08-09
1414,2012-08-10
1415,2012-08-13
1416,2012-08-14
1417,2012-08-15
1418,2012-08-16
1419,2012-08-17
1420,2012-08-20
1421,2012-08-21
1422,2012-08-22
1423,2012-08-23
1424,2012-08-24
1425,2012-08-27
1426,2012-08-28
1427,2012-08-29
1428,2012-08-30
1429,2012-08-31
1430,2012-09-04
1431,2012-09-05
1432,2012-09-06
1433,2012-09-07
1434,2012-09-10
1435,2012-09-11
1436,2012-09-12
1437,2012-09-13
1438,2012-09-14
1439,2012-09-17
1440,2012-09-18
1441,2012-09-19
1442,2012-09-20
1443,2012-09-21
1444,2012-09-24
1445,2012-09-25
1446,2012-09-26
1447,2012-09-27
1448,2012-09-28
1449,2012-10-01
1450,2012-10-02
1451,2012-10-03
1452,2012-10-04
1453,2012-10-05
1454,2012-10-08
1455,2012-10-09
1456,2012-10-10
1457,2012-10-11
1458,2012-10-12
1459,2012-10-15
1460,2012-10-16
1461,2012-10-17
1462,2012-10-18
1463,2012-10-19
1464,2012-10-22
1465,2012-10-23
1466,2012-10-24
1467,2012-10-25
1468,2012-10-26
1469,2012-10-31
1470,2012-11-01
1471,2012-11-02
1472,2012-11-05
1473,2012-11-06
1474,2012-11-07
1475,2012-11-08
1476,2012-11-09
1477,2012-11-12
1478,2012-11-13
1479,2012-11-14
1480,2012-11-15
1481,2012-11-16
1482,2012-11-19
1483,2012-11-20
1484,2012-11-21
1485,2012-11-23
1486,2012-11-26
1487,2012-11-27
1488,2012-11-28
1489,2012-11-29
1490,2012-11-30
1491,2012-12-03
1492,2012-12-04
1493,2012-12-05
1494,2012-12-06
1495,2012-12-07
1496,2012-12-10
1497,2012-12-11
1498,2012-12-12
1499,2012-12-13
